heater,voltage
0,2.080331
1,3.737898
2,1.809464
3,3.096748
4,2.522449
5,3.833747
6,3.124792
7,1.246296
8,0.217677
9,4.065454
10,4.141731
11,4.608003
12,3.349389
13,0.110000
14,4.508570
15,2.985444
16,1.295449
17,4.191389
18,0.242677
19,4.028181
20,0.284934
21,0.110000
22,1.864742
23,2.764367
24,0.110000
25,4.472602
26,2.403776
27,1.890202
