heater,voltage
0,1.172555
1,1.041693
2,2.163096
3,4.150204
4,0.174412
5,0.889801
6,0.979202
7,3.513454
8,4.001096
9,1.689629
10,1.344179
11,3.307860
12,2.035280
13,0.161966
14,4.286255
15,0.993308
16,3.433901
17,1.715583
18,2.465349
19,2.575241
20,3.797245
21,4.718103
22,1.311608
23,3.978528
24,2.244844
25,1.941858
26,1.515554
27,1.332341
