heater,voltage
0,1.663809
1,3.563928
2,0.538179
3,1.104723
4,1.919347
5,4.120330
6,4.890000
7,3.937694
8,1.671424
9,0.570241
10,0.829708
11,4.806829
12,2.687189
13,0.602372
14,0.882179
15,4.604504
16,0.110846
17,3.333226
18,3.584594
19,3.016669
20,0.473814
21,1.053494
22,3.649314
23,1.287553
24,1.077534
25,2.788229
26,3.878577
27,4.383995
