heater,voltage
0,3.430919
1,1.847908
2,2.674429
3,3.188007
4,1.969472
5,2.967986
6,3.878624
7,1.829190
8,0.205789
9,4.040258
10,4.890000
11,3.120545
12,3.607534
13,3.358927
14,4.298524
15,2.668852
16,1.040658
17,3.403817
18,4.341969
19,1.990441
20,0.471018
21,4.890000
22,2.701206
23,4.683017
24,4.676169
25,1.787236
26,3.227805
27,1.207277
