heater,voltage
0,3.399154
1,2.347519
2,3.522571
3,1.022012
4,3.807068
5,3.848024
6,0.193880
7,1.307268
8,3.143188
9,2.307519
10,2.262318
11,4.591218
12,1.393544
13,3.148023
14,2.512237
15,4.095277
16,2.511198
17,3.044564
18,4.362322
19,1.431711
20,1.480961
21,3.472358
22,3.588669
23,0.459241
24,2.589884
25,3.346605
26,4.308925
27,4.881910
